"SECTOR","STATE","STATE_FIPS","COUNTY","COUNTY_FIPS","POLLUTANT","POLLUTANT TYPE","EMISSIONS","UNIT OF MEASURE"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Augusta","015","Nitrogen Oxides","CAP","2404.532592","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Montgomery","121","Nitrogen Oxides","CAP","2207.373909","TON"
"Fuel Comb - Industrial Boilers, ICEs - Natural Gas","VA","51","Pittsylvania","143","Nitrogen Oxides","CAP","2205.66269","TON"
"Mobile - Non-Road Equipment - Diesel","VA","51","Fairfax","059","Nitrogen Oxides","CAP","2157.0736796754","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Shenandoah","171","Nitrogen Oxides","CAP","2137.868822","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Frederick","069","Nitrogen Oxides","CAP","2078.114837","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Carroll","035","Nitrogen Oxides","CAP","2037.6874","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Prince William","153","Nitrogen Oxides","CAP","1965.4607","TON"
"Fuel Comb - Electric Generation - Coal","VA","51","Fluvanna","065","Nitrogen Oxides","CAP","1880.2","TON"
"Mobile - Non-Road Equipment - Diesel","VA","51","Loudoun","107","Nitrogen Oxides","CAP","1872.211811078","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Chesapeake city","550","Nitrogen Oxides","CAP","1871.98366","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Prince William","153","Nitrogen Oxides","CAP","1867.74486","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Botetourt","023","Nitrogen Oxides","CAP","1854.718009","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Norfolk city","710","Nitrogen Oxides","CAP","1851.27248","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Richmond city","760","Nitrogen Oxides","CAP","1839.7126","TON"
"Industrial Processes - NEC","VA","51","King William","101","Nitrogen Oxides","CAP","1829.518825","TON"
"Mobile - Aircraft","VA","51","Loudoun","107","Nitrogen Oxides","CAP","1749.630096448","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Caroline","033","Nitrogen Oxides","CAP","1692.255578","TON"
"Industrial Processes - Cement Manuf","VA","51","Botetourt","023","Nitrogen Oxides","CAP","1651.88","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Hanover","085","Nitrogen Oxides","CAP","1646.9288","TON"
"Fuel Comb - Industrial Boilers, ICEs - Other","VA","51","Fairfax","059","Nitrogen Oxides","CAP","1611.205","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Henrico","087","Nitrogen Oxides","CAP","1590.55677","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Newport News city","700","Nitrogen Oxides","CAP","1565.48737","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Chesterfield","041","Nitrogen Oxides","CAP","1553.60337","TON"
"Fuel Comb - Electric Generation - Coal","VA","51","Russell","167","Nitrogen Oxides","CAP","1548.8","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Hanover","085","Nitrogen Oxides","CAP","1540.57208","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Stafford","179","Nitrogen Oxides","CAP","1523.76827","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Loudoun","107","Nitrogen Oxides","CAP","1470.01961","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Rockingham","165","Nitrogen Oxides","CAP","1442.577878","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Hampton city","650","Nitrogen Oxides","CAP","1411.41187","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Washington","191","Nitrogen Oxides","CAP","1308.39694","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Roanoke","161","Nitrogen Oxides","CAP","1297.416825","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Fauquier","061","Nitrogen Oxides","CAP","1282.54149","TON"
"Fuel Comb - Electric Generation - Coal","VA","51","Hopewell city","670","Nitrogen Oxides","CAP","1276.5","TON"
"Mobile - Commercial Marine Vessels","VA","51","Portsmouth city","740","Nitrogen Oxides","CAP","1263.37245","TON"
"Fuel Comb - Electric Generation - Coal","VA","51","Montgomery","121","Nitrogen Oxides","CAP","1247.312","TON"
"Mobile - Non-Road Equipment - Diesel","VA","51","Henrico","087","Nitrogen Oxides","CAP","1238.308098425","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Spotsylvania","177","Nitrogen Oxides","CAP","1233.445815","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Mecklenburg","117","Nitrogen Oxides","CAP","1219.749593","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Brunswick","025","Nitrogen Oxides","CAP","1217.530535","TON"
"Mobile - Aircraft","VA","51","Arlington","013","Nitrogen Oxides","CAP","1193.178674415","TON"
"Mobile - Non-Road Equipment - Diesel","VA","51","Prince William","153","Nitrogen Oxides","CAP","1188.740001227","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Prince George","149","Nitrogen Oxides","CAP","1181.653908","TON"
"Industrial Processes - NEC","VA","51","Amherst","009","Nitrogen Oxides","CAP","1178.17","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Augusta","015","Nitrogen Oxides","CAP","1170.44937","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Spotsylvania","177","Nitrogen Oxides","CAP","1161.6663","TON"
"Mobile - Non-Road Equipment - Diesel","VA","51","Virginia Beach city","810","Nitrogen Oxides","CAP","1122.881884082","TON"
"Mobile - Non-Road Equipment - Diesel","VA","51","Arlington","013","Nitrogen Oxides","CAP","1084.463298014","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Albemarle","003","Nitrogen Oxides","CAP","1070.009604","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Pulaski","155","Nitrogen Oxides","CAP","1064.848764","TON"
"Fuel Comb - Electric Generation - Oil","VA","51","Chesterfield","041","Nitrogen Oxides","CAP","1062.101848","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Albemarle","003","Nitrogen Oxides","CAP","1026.34859","TON"
"Industrial Processes - Oil & Gas Production","VA","51","Wise","195","Nitrogen Oxides","CAP","1011.5744542","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Rockingham","165","Nitrogen Oxides","CAP","1009.14264","TON"
"Mobile - Commercial Marine Vessels","VA","51","Norfolk city","710","Nitrogen Oxides","CAP","1004.85978093","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Fauquier","061","Nitrogen Oxides","CAP","1000.20017","TON"
"Mobile - Commercial Marine Vessels","VA","51","Accomack","001","Nitrogen Oxides","CAP","986.73486913897","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Suffolk city","800","Nitrogen Oxides","CAP","981.629567","TON"
"Mobile - Non-Road Equipment - Diesel","VA","51","Norfolk city","710","Nitrogen Oxides","CAP","972.84124936","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Bland","021","Nitrogen Oxides","CAP","929.069771","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Suffolk city","800","Nitrogen Oxides","CAP","921.58795","TON"
"Industrial Processes - Oil & Gas Production","VA","51","Tazewell","185","Nitrogen Oxides","CAP","909.54648","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Arlington","013","Nitrogen Oxides","CAP","909.18953","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Sussex","183","Nitrogen Oxides","CAP","900.020026","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Frederick","069","Nitrogen Oxides","CAP","895.62446","TON"
"Fuel Comb - Industrial Boilers, ICEs - Coal","VA","51","Hopewell city","670","Nitrogen Oxides","CAP","890.252","TON"
"Industrial Processes - Pulp & Paper","VA","51","Covington city","580","Nitrogen Oxides","CAP","884.874","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Roanoke city","770","Nitrogen Oxides","CAP","882.97907","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Stafford","179","Nitrogen Oxides","CAP","869.68689","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","New Kent","127","Nitrogen Oxides","CAP","864.759825","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Richmond city","760","Nitrogen Oxides","CAP","814.53082","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Chesapeake city","550","Nitrogen Oxides","CAP","808.67737","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Greensville","081","Nitrogen Oxides","CAP","803.623426","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Montgomery","121","Nitrogen Oxides","CAP","803.32733","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Roanoke","161","Nitrogen Oxides","CAP","793.66919","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Dinwiddie","053","Nitrogen Oxides","CAP","782.01647","TON"
"Mobile - Locomotives","VA","51","Scott","169","Nitrogen Oxides","CAP","780.923239","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Smyth","173","Nitrogen Oxides","CAP","775.689179","TON"
"Mobile - Non-Road Equipment - Diesel","VA","51","Chesterfield","041","Nitrogen Oxides","CAP","763.2005234421","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Henry","089","Nitrogen Oxides","CAP","762.957021","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Shenandoah","171","Nitrogen Oxides","CAP","753.6891","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Pittsylvania","143","Nitrogen Oxides","CAP","749.96107","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Caroline","033","Nitrogen Oxides","CAP","745.13705","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Bedford","019","Nitrogen Oxides","CAP","740.93504","TON"
"Mobile - Locomotives","VA","51","Bedford","019","Nitrogen Oxides","CAP","736.933619","TON"
"Fuel Comb - Industrial Boilers, ICEs - Natural Gas","VA","51","Appomattox","011","Nitrogen Oxides","CAP","722.863704","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Goochland","075","Nitrogen Oxides","CAP","714.283341","TON"
"Mobile - Locomotives","VA","51","Alleghany","005","Nitrogen Oxides","CAP","695.0639792","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Pittsylvania","143","Nitrogen Oxides","CAP","692.031847","TON"
"Mobile - Commercial Marine Vessels","VA","51","Newport News city","700","Nitrogen Oxides","CAP","665.71665","TON"
"Mobile - Locomotives","VA","51","Botetourt","023","Nitrogen Oxides","CAP","663.158012","TON"
"Mobile - Commercial Marine Vessels","VA","51","Virginia Beach city","810","Nitrogen Oxides","CAP","662.56806","TON"
"Industrial Processes - Oil & Gas Production","VA","51","Russell","167","Nitrogen Oxides","CAP","652.833615845","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Campbell","031","Nitrogen Oxides","CAP","652.08713","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Warren","187","Nitrogen Oxides","CAP","648.314811","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Portsmouth city","740","Nitrogen Oxides","CAP","645.61311","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Wythe","197","Nitrogen Oxides","CAP","640.67257","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Lynchburg city","680","Nitrogen Oxides","CAP","637.63289","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Henry","089","Nitrogen Oxides","CAP","634.10432","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Franklin","067","Nitrogen Oxides","CAP","631.708238","TON"
"Mobile - Non-Road Equipment - Diesel","VA","51","Fauquier","061","Nitrogen Oxides","CAP","624.753958135","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Franklin","067","Nitrogen Oxides","CAP","622.96194","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Washington","191","Nitrogen Oxides","CAP","621.82544","TON"
"Mobile - Non-Road Equipment - Gasoline","VA","51","Fairfax","059","Nitrogen Oxides","CAP","620.7325246579","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Newport News city","700","Nitrogen Oxides","CAP","620.5931","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Botetourt","023","Nitrogen Oxides","CAP","617.5909","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","York","199","Nitrogen Oxides","CAP","606.36577","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Rockbridge","163","Nitrogen Oxides","CAP","596.20208","TON"
"Fuel Comb - Industrial Boilers, ICEs - Natural Gas","VA","51","Hopewell city","670","Nitrogen Oxides","CAP","595.46346","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Loudoun","107","Nitrogen Oxides","CAP","582.58781","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Petersburg city","730","Nitrogen Oxides","CAP","577.437924","TON"
"Mobile - Locomotives","VA","51","Montgomery","121","Nitrogen Oxides","CAP","576.29392","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Virginia Beach city","810","Nitrogen Oxides","CAP","568.38864","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Harrisonburg city","660","Nitrogen Oxides","CAP","560.637215","TON"
"Fuel Comb - Comm/Institutional - Natural Gas","VA","51","Fairfax","059","Nitrogen Oxides","CAP","558.34677","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Norfolk city","710","Nitrogen Oxides","CAP","549.78099","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Alleghany","005","Nitrogen Oxides","CAP","548.879372","TON"
"Fuel Comb - Electric Generation - Coal","VA","51","Alexandria city","510","Nitrogen Oxides","CAP","547.5","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Carroll","035","Nitrogen Oxides","CAP","543.57068","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Louisa","109","Nitrogen Oxides","CAP","542.9814","TON"
"Mobile - Non-Road Equipment - Diesel","VA","51","Albemarle","003","Nitrogen Oxides","CAP","538.81773443","TON"
"Mobile - Commercial Marine Vessels","VA","51","Northumberland","133","Nitrogen Oxides","CAP","532.5919","TON"
"Industrial Processes - NEC","VA","51","Buchanan","027","Nitrogen Oxides","CAP","520.17","TON"
"Mobile - Non-Road Equipment - Diesel","VA","51","Stafford","179","Nitrogen Oxides","CAP","520.146111736","TON"
"Fuel Comb - Electric Generation - Coal","VA","51","Giles","071","Nitrogen Oxides","CAP","519.819","TON"
"Mobile - Non-Road Equipment - Diesel","VA","51","Frederick","069","Nitrogen Oxides","CAP","518.323610426","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Halifax","083","Nitrogen Oxides","CAP","518.205328","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Alexandria city","510","Nitrogen Oxides","CAP","516.20166","TON"
"Industrial Processes - NEC","VA","51","Giles","071","Nitrogen Oxides","CAP","514.853","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Mecklenburg","117","Nitrogen Oxides","CAP","511.60422","TON"
"Fuel Comb - Residential - Natural Gas","VA","51","Fairfax","059","Nitrogen Oxides","CAP","507.322","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Southampton","175","Nitrogen Oxides","CAP","506.743592","TON"
"Fuel Comb - Electric Generation - Natural Gas","VA","51","Hopewell city","670","Nitrogen Oxides","CAP","501.16716","TON"
"Mobile - Non-Road Equipment - Diesel","VA","51","Spotsylvania","177","Nitrogen Oxides","CAP","493.738147391","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Bristol city","520","Nitrogen Oxides","CAP","491.741709","TON"
"Mobile - Locomotives","VA","51","Dinwiddie","053","Nitrogen Oxides","CAP","488.04064","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Pulaski","155","Nitrogen Oxides","CAP","480.69695","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Campbell","031","Nitrogen Oxides","CAP","477.511672","TON"
"Fuel Comb - Industrial Boilers, ICEs - Other","VA","51","Alexandria city","510","Nitrogen Oxides","CAP","471.17","TON"
"Mobile - Locomotives","VA","51","Giles","071","Nitrogen Oxides","CAP","471.06559311","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Prince George","149","Nitrogen Oxides","CAP","470.60044","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Culpeper","047","Nitrogen Oxides","CAP","466.5725","TON"
"Mobile - Non-Road Equipment - Gasoline","VA","51","Accomack","001","Nitrogen Oxides","CAP","465.2772713231","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","James city","095","Nitrogen Oxides","CAP","464.82686","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Goochland","075","Nitrogen Oxides","CAP","461.59975","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Dinwiddie","053","Nitrogen Oxides","CAP","459.22254","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","New Kent","127","Nitrogen Oxides","CAP","457.94731","TON"
"Mobile - Locomotives","VA","51","Goochland","075","Nitrogen Oxides","CAP","457.078","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Accomack","001","Nitrogen Oxides","CAP","455.94093","TON"
"Mobile - Non-Road Equipment - Diesel","VA","51","Accomack","001","Nitrogen Oxides","CAP","451.2684834851","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Isle of Wight","093","Nitrogen Oxides","CAP","450.23044","TON"
"Mobile - Locomotives","VA","51","Campbell","031","Nitrogen Oxides","CAP","449.925936","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Halifax","083","Nitrogen Oxides","CAP","449.19807","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Smyth","173","Nitrogen Oxides","CAP","436.13849","TON"
"Mobile - Locomotives","VA","51","Roanoke city","770","Nitrogen Oxides","CAP","431.925280364","TON"
"Fuel Comb - Industrial Boilers, ICEs - Coal","VA","51","Chesterfield","041","Nitrogen Oxides","CAP","429.38","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Hampton city","650","Nitrogen Oxides","CAP","426.87421","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Amherst","009","Nitrogen Oxides","CAP","425.762282","TON"
"Mobile - Locomotives","VA","51","Sussex","183","Nitrogen Oxides","CAP","416.4074","TON"
"Mobile - Locomotives","VA","51","Henrico","087","Nitrogen Oxides","CAP","416.30571","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Amherst","009","Nitrogen Oxides","CAP","416.1942","TON"
"Mobile - Non-Road Equipment - Diesel","VA","51","Newport News city","700","Nitrogen Oxides","CAP","407.37649973","TON"
"Mobile - Locomotives","VA","51","Caroline","033","Nitrogen Oxides","CAP","403.6133","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Tazewell","185","Nitrogen Oxides","CAP","400.57161","TON"
"Industrial Processes - Pulp & Paper","VA","51","Portsmouth city","740","Nitrogen Oxides","CAP","392.69","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Warren","187","Nitrogen Oxides","CAP","391.8614","TON"
"Fuel Comb - Industrial Boilers, ICEs - Coal","VA","51","Mecklenburg","117","Nitrogen Oxides","CAP","390.9","TON"
"Mobile - Aircraft","VA","51","Virginia Beach city","810","Nitrogen Oxides","CAP","390.26238042","TON"
"Fuel Comb - Electric Generation - Natural Gas","VA","51","Hanover","085","Nitrogen Oxides","CAP","387.089","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Louisa","109","Nitrogen Oxides","CAP","386.443186","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Petersburg city","730","Nitrogen Oxides","CAP","383.111197","TON"
"Fuel Comb - Industrial Boilers, ICEs - Biomass","VA","51","Covington city","580","Nitrogen Oxides","CAP","382.2947","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Wise","195","Nitrogen Oxides","CAP","380.919931","TON"
"Mobile - Non-Road Equipment - Diesel","VA","51","Hanover","085","Nitrogen Oxides","CAP","380.086090318","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Danville city","590","Nitrogen Oxides","CAP","378.5675","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Wise","195","Nitrogen Oxides","CAP","374.90157","TON"
"Industrial Processes - NEC","VA","51","James city","095","Nitrogen Oxides","CAP","372.935","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Bedford","019","Nitrogen Oxides","CAP","371.762856","TON"
"Mobile - Locomotives","VA","51","Nelson","125","Nitrogen Oxides","CAP","369.5433072","TON"
"Mobile - Non-Road Equipment - Diesel","VA","51","Augusta","015","Nitrogen Oxides","CAP","364.002428044","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Danville city","590","Nitrogen Oxides","CAP","363.437438","TON"
"Mobile - Non-Road Equipment - Diesel","VA","51","James city","095","Nitrogen Oxides","CAP","359.5311103162","TON"
"Mobile - Non-Road Equipment - Gasoline","VA","51","Northampton","131","Nitrogen Oxides","CAP","357.72551950784","TON"
"Mobile - Non-Road Equipment - Diesel","VA","51","Suffolk city","800","Nitrogen Oxides","CAP","357.199507598","TON"
"Mobile - Locomotives","VA","51","Pittsylvania","143","Nitrogen Oxides","CAP","355.3727714","TON"
"Industrial Processes - Pulp & Paper","VA","51","Hopewell city","670","Nitrogen Oxides","CAP","352.58091","TON"
"Mobile - Locomotives","VA","51","Russell","167","Nitrogen Oxides","CAP","350.6979892","TON"
"Mobile - Non-Road Equipment - Diesel","VA","51","Rockingham","165","Nitrogen Oxides","CAP","349.704197174","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","York","199","Nitrogen Oxides","CAP","344.204627","TON"
"Mobile - Locomotives","VA","51","Fairfax","059","Nitrogen Oxides","CAP","343.58285","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Sussex","183","Nitrogen Oxides","CAP","342.23991","TON"
"Mobile - Non-Road Equipment - Gasoline","VA","51","Virginia Beach city","810","Nitrogen Oxides","CAP","339.4252344979","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Gloucester","073","Nitrogen Oxides","CAP","336.3718","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Roanoke city","770","Nitrogen Oxides","CAP","336.341887","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Brunswick","025","Nitrogen Oxides","CAP","336.03916","TON"
"Mobile - Locomotives","VA","51","Dickenson","051","Nitrogen Oxides","CAP","335.534347081","TON"
"Mobile - Locomotives","VA","51","Wise","195","Nitrogen Oxides","CAP","333.179985374","TON"
"Mobile - Non-Road Equipment - Diesel","VA","51","Roanoke","161","Nitrogen Oxides","CAP","328.5593636725","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Southampton","175","Nitrogen Oxides","CAP","323.674647","TON"
"Industrial Processes - NEC","VA","51","Covington city","580","Nitrogen Oxides","CAP","323.601","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Emporia city","595","Nitrogen Oxides","CAP","317.0433603","TON"
"Mobile - Non-Road Equipment - Diesel","VA","51","Montgomery","121","Nitrogen Oxides","CAP","315.616612067","TON"
"Mobile - Locomotives","VA","51","Stafford","179","Nitrogen Oxides","CAP","313.6366","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Tazewell","185","Nitrogen Oxides","CAP","312.953281","TON"
"Mobile - Non-Road Equipment - Diesel","VA","51","Campbell","031","Nitrogen Oxides","CAP","311.954963012","TON"
"Mobile - Non-Road Equipment - Diesel","VA","51","Culpeper","047","Nitrogen Oxides","CAP","311.670824176","TON"
"Fuel Comb - Industrial Boilers, ICEs - Coal","VA","51","Richmond city","760","Nitrogen Oxides","CAP","310.453","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Accomack","001","Nitrogen Oxides","CAP","307.30448","TON"
"Fuel Comb - Industrial Boilers, ICEs - Oil","VA","51","Newport News city","700","Nitrogen Oxides","CAP","306.1178172","TON"
