"SECTOR","STATE","STATE_FIPS","COUNTY","COUNTY_FIPS","POLLUTANT","POLLUTANT TYPE","EMISSIONS","UNIT OF MEASURE"
"Fuel Comb - Electric Generation - Coal","VA","51","Chesapeake city","550","Sulfur Dioxide","CAP","17247.58","TON"
"Fuel Comb - Electric Generation - Coal","VA","51","Chesterfield","041","Sulfur Dioxide","CAP","15881.8","TON"
"Fuel Comb - Electric Generation - Coal","VA","51","York","199","Sulfur Dioxide","CAP","13186.9","TON"
"Fuel Comb - Industrial Boilers, ICEs - Coal","VA","51","Giles","071","Sulfur Dioxide","CAP","6538.8928","TON"
"Fuel Comb - Electric Generation - Coal","VA","51","Fluvanna","065","Sulfur Dioxide","CAP","6480.9","TON"
"Fuel Comb - Electric Generation - Coal","VA","51","Russell","167","Sulfur Dioxide","CAP","5921.3","TON"
"Industrial Processes - NEC","VA","51","Buchanan","027","Sulfur Dioxide","CAP","5090.947","TON"
"Fuel Comb - Electric Generation - Coal","VA","51","Montgomery","121","Sulfur Dioxide","CAP","2886.961","TON"
"Fuel Comb - Electric Generation - Coal","VA","51","Hopewell city","670","Sulfur Dioxide","CAP","2183.6","TON"
"Industrial Processes - Cement Manuf","VA","51","Botetourt","023","Sulfur Dioxide","CAP","1917.74","TON"
"Fuel Comb - Electric Generation - Coal","VA","51","Giles","071","Sulfur Dioxide","CAP","1769.963","TON"
"Fuel Comb - Industrial Boilers, ICEs - Coal","VA","51","Hopewell city","670","Sulfur Dioxide","CAP","1187.76","TON"
"Industrial Processes - NEC","VA","51","Bedford","019","Sulfur Dioxide","CAP","1079.1","TON"
"Industrial Processes - NEC","VA","51","Halifax","083","Sulfur Dioxide","CAP","957.8","TON"
"Industrial Processes - NEC","VA","51","Giles","071","Sulfur Dioxide","CAP","896.84","TON"
"Fuel Comb - Industrial Boilers, ICEs - Oil","VA","51","Newport News city","700","Sulfur Dioxide","CAP","839.333738","TON"
"Fuel Comb - Electric Generation - Coal","VA","51","Richmond city","760","Sulfur Dioxide","CAP","835.038","TON"
"Fuel Comb - Electric Generation - Coal","VA","51","Halifax","083","Sulfur Dioxide","CAP","790.2","TON"
"Fuel Comb - Electric Generation - Oil","VA","51","York","199","Sulfur Dioxide","CAP","754.8","TON"
"Fuel Comb - Industrial Boilers, ICEs - Coal","VA","51","Chesterfield","041","Sulfur Dioxide","CAP","680.928","TON"
"Mobile - Commercial Marine Vessels","VA","51","Northampton","131","Sulfur Dioxide","CAP","624.337210766305","TON"
"Industrial Processes - NEC","VA","51","King William","101","Sulfur Dioxide","CAP","583.757647","TON"
"Mobile - Commercial Marine Vessels","VA","51","Accomack","001","Sulfur Dioxide","CAP","577.0072479099748","TON"
"Industrial Processes - Pulp & Paper","VA","51","Portsmouth city","740","Sulfur Dioxide","CAP","574.89","TON"
"Fuel Comb - Industrial Boilers, ICEs - Coal","VA","51","Waynesboro city","820","Sulfur Dioxide","CAP","566.887","TON"
"Fuel Comb - Industrial Boilers, ICEs - Oil","VA","51","Accomack","001","Sulfur Dioxide","CAP","533.1135885","TON"
"Fuel Comb - Electric Generation - Coal","VA","51","Alexandria city","510","Sulfur Dioxide","CAP","491.2","TON"
"Fuel Comb - Industrial Boilers, ICEs - Coal","VA","51","Richmond city","760","Sulfur Dioxide","CAP","438.134","TON"
"Fuel Comb - Residential - Oil","VA","51","Fairfax","059","Sulfur Dioxide","CAP","361.5312","TON"
"Fuel Comb - Industrial Boilers, ICEs - Coal","VA","51","Hanover","085","Sulfur Dioxide","CAP","331.145","TON"
"Industrial Processes - Pulp & Paper","VA","51","Covington city","580","Sulfur Dioxide","CAP","327.714955","TON"
