"SECTOR","STATE","STATE_FIPS","COUNTY","COUNTY_FIPS","POLLUTANT","POLLUTANT TYPE","EMISSIONS","UNIT OF MEASURE"
"Mobile - Non-Road Equipment - Gasoline","VA","51","Fairfax","059","Carbon Monoxide","CAP","46508.133714263","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Fairfax","059","Carbon Monoxide","CAP","44037.534","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Virginia Beach city","810","Carbon Monoxide","CAP","23261.52","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Chesterfield","041","Carbon Monoxide","CAP","20769.124","TON"
"Fires - Wildfires","VA","51","Rockingham","165","Carbon Monoxide","CAP","20703.303839","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Henrico","087","Carbon Monoxide","CAP","20271.505","TON"
"Mobile - Non-Road Equipment - Gasoline","VA","51","Loudoun","107","Carbon Monoxide","CAP","20221.08927648","TON"
"Mobile - Non-Road Equipment - Gasoline","VA","51","Virginia Beach city","810","Carbon Monoxide","CAP","16364.86248075","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Prince William","153","Carbon Monoxide","CAP","15687.914","TON"
"Mobile - Non-Road Equipment - Gasoline","VA","51","Frederick","069","Carbon Monoxide","CAP","14995.94812929","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Chesapeake city","550","Carbon Monoxide","CAP","14479.918","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Norfolk city","710","Carbon Monoxide","CAP","14021.993","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Richmond city","760","Carbon Monoxide","CAP","13527.0032","TON"
"Mobile - Non-Road Equipment - Gasoline","VA","51","Prince William","153","Carbon Monoxide","CAP","12915.77747362","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Newport News city","700","Carbon Monoxide","CAP","11940.608","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Loudoun","107","Carbon Monoxide","CAP","11479.1017","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Hanover","085","Carbon Monoxide","CAP","10660.647","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Hampton city","650","Carbon Monoxide","CAP","10473.8605","TON"
"Fires - Wildfires","VA","51","Warren","187","Carbon Monoxide","CAP","9858.296501","TON"
"Mobile - Non-Road Equipment - Gasoline","VA","51","Accomack","001","Carbon Monoxide","CAP","9483.03521518","TON"
"Fuel Comb - Residential - Wood","VA","51","Fairfax","059","Carbon Monoxide","CAP","9012.81385","TON"
"Mobile - Non-Road Equipment - Gasoline","VA","51","Hanover","085","Carbon Monoxide","CAP","8878.97007205","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Spotsylvania","177","Carbon Monoxide","CAP","8822.925","TON"
"Mobile - Non-Road Equipment - Gasoline","VA","51","Chesterfield","041","Carbon Monoxide","CAP","8706.1476948","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Augusta","015","Carbon Monoxide","CAP","8575.531","TON"
"Fires - Prescribed Fires","VA","51","Halifax","083","Carbon Monoxide","CAP","8421.884","TON"
"Mobile - Non-Road Equipment - Gasoline","VA","51","Henrico","087","Carbon Monoxide","CAP","8170.27569907","TON"
"Fires - Wildfires","VA","51","Caroline","033","Carbon Monoxide","CAP","7830.575993","TON"
"Mobile - Non-Road Equipment - Gasoline","VA","51","Chesapeake city","550","Carbon Monoxide","CAP","7744.51586706","TON"
"Fires - Wildfires","VA","51","Chesapeake city","550","Carbon Monoxide","CAP","7456.75692","TON"
"Mobile - Non-Road Equipment - Gasoline","VA","51","Norfolk city","710","Carbon Monoxide","CAP","7444.47000437","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Arlington","013","Carbon Monoxide","CAP","7441.6999","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Rockingham","165","Carbon Monoxide","CAP","7420.768","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Albemarle","003","Carbon Monoxide","CAP","7405.4775","TON"
"Mobile - Non-Road Equipment - Gasoline","VA","51","Richmond city","760","Carbon Monoxide","CAP","7344.9920895","TON"
"Mobile - Non-Road Equipment - Gasoline","VA","51","Northampton","131","Carbon Monoxide","CAP","7148.450337466","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Roanoke city","770","Carbon Monoxide","CAP","7016.3324","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Fauquier","061","Carbon Monoxide","CAP","6938.8313","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Stafford","179","Carbon Monoxide","CAP","6826.3827","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Frederick","069","Carbon Monoxide","CAP","6649.1772","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Suffolk city","800","Carbon Monoxide","CAP","6519.7724","TON"
"Fires - Wildfires","VA","51","Lee","105","Carbon Monoxide","CAP","6369.63151","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Roanoke","161","Carbon Monoxide","CAP","6260.6674","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Montgomery","121","Carbon Monoxide","CAP","6041.7315","TON"
"Mobile - Non-Road Equipment - Gasoline","VA","51","York","199","Carbon Monoxide","CAP","5710.1106802837","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Bedford","019","Carbon Monoxide","CAP","5596.1772","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Shenandoah","171","Carbon Monoxide","CAP","5512.9955","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Pittsylvania","143","Carbon Monoxide","CAP","5450.7647","TON"
"Fires - Wildfires","VA","51","Suffolk city","800","Carbon Monoxide","CAP","5226.97015","TON"
"Mobile - Non-Road Equipment - Gasoline","VA","51","Mecklenburg","117","Carbon Monoxide","CAP","5224.013242163","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Caroline","033","Carbon Monoxide","CAP","5133.1876","TON"
"Industrial Processes - Oil & Gas Production","VA","51","Buchanan","027","Carbon Monoxide","CAP","5084.054","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Portsmouth city","740","Carbon Monoxide","CAP","4935.9057","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Lynchburg city","680","Carbon Monoxide","CAP","4933.1746","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Henry","089","Carbon Monoxide","CAP","4740.2101","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Campbell","031","Carbon Monoxide","CAP","4687.2002","TON"
