"SECTOR","STATE","STATE_FIPS","COUNTY","COUNTY_FIPS","POLLUTANT","POLLUTANT TYPE","EMISSIONS","UNIT OF MEASURE"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Fairfax","059","Carbon Monoxide","CAP","47636.8771","TON"
"Mobile - Non-Road Equipment - Gasoline","VA","51","Fairfax","059","Carbon Monoxide","CAP","43984.050702748","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Virginia Beach city","810","Carbon Monoxide","CAP","25460.09488","TON"
"Fires - Prescribed Fires","VA","51","Augusta","015","Carbon Monoxide","CAP","25414.9205","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Henrico","087","Carbon Monoxide","CAP","24176.073473","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Chesterfield","041","Carbon Monoxide","CAP","23046.303975","TON"
"Fires - Wildfires","VA","51","Buchanan","027","Carbon Monoxide","CAP","21728.78092","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Prince William","153","Carbon Monoxide","CAP","19984.883251","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Norfolk city","710","Carbon Monoxide","CAP","19218.553602","TON"
"Mobile - Non-Road Equipment - Gasoline","VA","51","Loudoun","107","Carbon Monoxide","CAP","19082.0351640700000000132815","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Chesapeake city","550","Carbon Monoxide","CAP","17280.458405","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Richmond city","760","Carbon Monoxide","CAP","16667.53113","TON"
"Fires - Prescribed Fires","VA","51","Wise","195","Carbon Monoxide","CAP","15803.3169","TON"
"Mobile - Non-Road Equipment - Gasoline","VA","51","Virginia Beach city","810","Carbon Monoxide","CAP","15329.318550210000001182413","TON"
"Mobile - Non-Road Equipment - Gasoline","VA","51","Frederick","069","Carbon Monoxide","CAP","13945.6336235","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Loudoun","107","Carbon Monoxide","CAP","13404.248408","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Newport News city","700","Carbon Monoxide","CAP","12539.309466","TON"
"Mobile - Non-Road Equipment - Gasoline","VA","51","Prince William","153","Carbon Monoxide","CAP","12199.03336975","TON"
