"SECTOR","STATE","STATE_FIPS","COUNTY","COUNTY_FIPS","POLLUTANT","POLLUTANT TYPE","EMISSIONS","UNIT OF MEASURE"
"Industrial Processes - Chemical Manuf","VA","51","Hopewell city","670","Nitrogen Oxides","CAP","6113.25","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Fairfax","059","Nitrogen Oxides","CAP","4977.542442","TON"
"Industrial Processes - Oil & Gas Production","VA","51","Buchanan","027","Nitrogen Oxides","CAP","4923.795827","TON"
"Industrial Processes - NEC","VA","51","Halifax","083","Nitrogen Oxides","CAP","4679.181123","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Fairfax","059","Nitrogen Oxides","CAP","4182.02095","TON"
"Fuel Comb - Electric Generation - Oil","VA","51","Halifax","083","Nitrogen Oxides","CAP","3781.1","TON"
"Fuel Comb - Industrial Boilers, ICEs - Coal","VA","51","Giles","071","Nitrogen Oxides","CAP","3509.929","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Henrico","087","Nitrogen Oxides","CAP","2806.0635236","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Virginia Beach city","810","Nitrogen Oxides","CAP","2747.410107","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Chesterfield","041","Nitrogen Oxides","CAP","2677.6131178","TON"
"Industrial Processes - Oil & Gas Production","VA","51","Dickenson","051","Nitrogen Oxides","CAP","2511.331304","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Prince William","153","Nitrogen Oxides","CAP","2176.7221917","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Norfolk city","710","Nitrogen Oxides","CAP","2170.0093348","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Chesapeake city","550","Nitrogen Oxides","CAP","2008.7555705","TON"
"Industrial Processes - Cement Manuf","VA","51","Botetourt","023","Nitrogen Oxides","CAP","2006.78","TON"
"Fuel Comb - Industrial Boilers, ICEs - Coal","VA","51","Covington city","580","Nitrogen Oxides","CAP","1993.726","TON"
"Mobile - Commercial Marine Vessels","VA","51","Norfolk city","710","Nitrogen Oxides","CAP","1899.715823712","TON"
