"SECTOR","STATE","STATE_FIPS","COUNTY","COUNTY_FIPS","POLLUTANT","POLLUTANT TYPE","EMISSIONS","UNIT OF MEASURE"
"Fuel Comb - Electric Generation - Coal","VA","51","York","199","Sulfur Dioxide","CAP","8844.6","TON"
"Fuel Comb - Electric Generation - Coal","VA","51","Chesapeake city","550","Sulfur Dioxide","CAP","7214.75","TON"
"Fuel Comb - Industrial Boilers, ICEs - Coal","VA","51","Giles","071","Sulfur Dioxide","CAP","7118.32","TON"
"Industrial Processes - NEC","VA","51","Giles","071","Sulfur Dioxide","CAP","6293.6","TON"
"Fuel Comb - Comm/Institutional - Coal","VA","51","Covington city","580","Sulfur Dioxide","CAP","5028.6355345","TON"
"Industrial Processes - NEC","VA","51","Buchanan","027","Sulfur Dioxide","CAP","4963.77874","TON"
"Fuel Comb - Electric Generation - Coal","VA","51","Russell","167","Sulfur Dioxide","CAP","3301.8","TON"
"Industrial Processes - Chemical Manuf","VA","51","Chesapeake city","550","Sulfur Dioxide","CAP","3003","TON"
"Fuel Comb - Electric Generation - Coal","VA","51","Montgomery","121","Sulfur Dioxide","CAP","2480.053","TON"
"Industrial Processes - Cement Manuf","VA","51","Botetourt","023","Sulfur Dioxide","CAP","2393.24","TON"
"Fuel Comb - Electric Generation - Coal","VA","51","Chesterfield","041","Sulfur Dioxide","CAP","2158.6","TON"
"Fuel Comb - Electric Generation - Coal","VA","51","Hopewell city","670","Sulfur Dioxide","CAP","1942.8","TON"
"Industrial Processes - NEC","VA","51","Halifax","083","Sulfur Dioxide","CAP","1176.515348","TON"
"Fuel Comb - Electric Generation - Oil","VA","51","York","199","Sulfur Dioxide","CAP","908.5","TON"
"Fuel Comb - Electric Generation - Coal","VA","51","Halifax","083","Sulfur Dioxide","CAP","907","TON"
"Fuel Comb - Electric Generation - Oil","VA","51","Prince William","153","Sulfur Dioxide","CAP","769.56153","TON"
"Fuel Comb - Industrial Boilers, ICEs - Oil","VA","51","Newport News city","700","Sulfur Dioxide","CAP","701.13054959","TON"
"Fuel Comb - Electric Generation - Coal","VA","51","Giles","071","Sulfur Dioxide","CAP","679.692","TON"
"Industrial Processes - Pulp & Paper","VA","51","Portsmouth city","740","Sulfur Dioxide","CAP","619.68","TON"
"Fuel Comb - Electric Generation - Coal","VA","51","Richmond city","760","Sulfur Dioxide","CAP","584.485","TON"
"Fuel Comb - Industrial Boilers, ICEs - Biomass","VA","51","Hopewell city","670","Sulfur Dioxide","CAP","519.87","TON"
"Industrial Processes - Pulp & Paper","VA","51","King William","101","Sulfur Dioxide","CAP","502.835722","TON"
"Mobile - Commercial Marine Vessels","VA","51","Norfolk city","710","Sulfur Dioxide","CAP","486.2171441144695","TON"
"Industrial Processes - Pulp & Paper","VA","51","Covington city","580","Sulfur Dioxide","CAP","475.620685","TON"
"Fuel Comb - Industrial Boilers, ICEs - Coal","VA","51","Mecklenburg","117","Sulfur Dioxide","CAP","371.1","TON"
"Fuel Comb - Industrial Boilers, ICEs - Coal","VA","51","Hanover","085","Sulfur Dioxide","CAP","354.0873","TON"
"Fuel Comb - Residential - Oil","VA","51","Fairfax","059","Sulfur Dioxide","CAP","291.28212","TON"
"Fuel Comb - Comm/Institutional - Coal","VA","51","Montgomery","121","Sulfur Dioxide","CAP","269.69645","TON"
"Waste Disposal","VA","51","Norfolk city","710","Sulfur Dioxide","CAP","264.4617","TON"
"Industrial Processes - NEC","VA","51","James city","095","Sulfur Dioxide","CAP","264.444438","TON"
