"SECTOR","STATE","STATE_FIPS","COUNTY","COUNTY_FIPS","POLLUTANT","POLLUTANT TYPE","EMISSIONS","UNIT OF MEASURE"
"Fires - Prescribed Fires","VA","51","Fauquier","061","PM2.5 Primary (Filt + Cond)","CAP","160.7146","TON"
"Waste Disposal","VA","51","Rockingham","165","PM2.5 Primary (Filt + Cond)","CAP","160.6922002","TON"
"Dust - Paved Road Dust","VA","51","Augusta","015","PM2.5 Primary (Filt + Cond)","CAP","160.053","TON"
"Dust - Paved Road Dust","VA","51","Hanover","085","PM2.5 Primary (Filt + Cond)","CAP","158.191","TON"
"Dust - Paved Road Dust","VA","51","Spotsylvania","177","PM2.5 Primary (Filt + Cond)","CAP","157.491","TON"
"Fires - Wildfires","VA","51","Albemarle","003","PM2.5 Primary (Filt + Cond)","CAP","156.913268","TON"
"Fuel Comb - Residential - Wood","VA","51","Montgomery","121","PM2.5 Primary (Filt + Cond)","CAP","156.6397152","TON"
"Waste Disposal","VA","51","Frederick","069","PM2.5 Primary (Filt + Cond)","CAP","155.91877","TON"
"Fires - Prescribed Fires","VA","51","Lunenburg","111","PM2.5 Primary (Filt + Cond)","CAP","155.48049","TON"
"Dust - Unpaved Road Dust","VA","51","Franklin","067","PM2.5 Primary (Filt + Cond)","CAP","154.909","TON"
"Fuel Comb - Residential - Wood","VA","51","Roanoke city","770","PM2.5 Primary (Filt + Cond)","CAP","154.304408","TON"
"Waste Disposal","VA","51","Bedford","019","PM2.5 Primary (Filt + Cond)","CAP","154.13597","TON"
"Waste Disposal","VA","51","Albemarle","003","PM2.5 Primary (Filt + Cond)","CAP","152.63386","TON"
"Fuel Comb - Residential - Wood","VA","51","Albemarle","003","PM2.5 Primary (Filt + Cond)","CAP","152.3533129","TON"
"Industrial Processes - Mining","VA","51","Wise","195","PM2.5 Primary (Filt + Cond)","CAP","152.117","TON"
"Fires - Prescribed Fires","VA","51","Appomattox","011","PM2.5 Primary (Filt + Cond)","CAP","151.61967","TON"
"Dust - Unpaved Road Dust","VA","51","Augusta","015","PM2.5 Primary (Filt + Cond)","CAP","151.465","TON"
"Fuel Comb - Residential - Wood","VA","51","Norfolk city","710","PM2.5 Primary (Filt + Cond)","CAP","150.895645","TON"
"Mobile - Non-Road Equipment - Diesel","VA","51","Loudoun","107","PM2.5 Primary (Filt + Cond)","CAP","150.606491526","TON"
"Fuel Comb - Residential - Wood","VA","51","Augusta","015","PM2.5 Primary (Filt + Cond)","CAP","149.5035687","TON"
"Fires - Prescribed Fires","VA","51","Lee","105","PM2.5 Primary (Filt + Cond)","CAP","149.2428","TON"
"Dust - Paved Road Dust","VA","51","Chesapeake city","550","PM2.5 Primary (Filt + Cond)","CAP","148.107","TON"
"Dust - Paved Road Dust","VA","51","Albemarle","003","PM2.5 Primary (Filt + Cond)","CAP","147.501","TON"
"Fuel Comb - Industrial Boilers, ICEs - Biomass","VA","51","Lynchburg city","680","PM2.5 Primary (Filt + Cond)","CAP","147.335","TON"
"Fuel Comb - Residential - Wood","VA","51","Rockingham","165","PM2.5 Primary (Filt + Cond)","CAP","146.5549539","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Fairfax","059","PM2.5 Primary (Filt + Cond)","CAP","145.671205","TON"
"Fires - Wildfires","VA","51","Buchanan","027","PM2.5 Primary (Filt + Cond)","CAP","143.90941","TON"
"Dust - Paved Road Dust","VA","51","Fauquier","061","PM2.5 Primary (Filt + Cond)","CAP","143.545","TON"
"Fuel Comb - Residential - Wood","VA","51","Hanover","085","PM2.5 Primary (Filt + Cond)","CAP","142.9675218","TON"
"Fuel Comb - Residential - Wood","VA","51","Roanoke","161","PM2.5 Primary (Filt + Cond)","CAP","141.2931976","TON"
"Fuel Comb - Residential - Wood","VA","51","Frederick","069","PM2.5 Primary (Filt + Cond)","CAP","140.6514645","TON"
"Dust - Paved Road Dust","VA","51","Stafford","179","PM2.5 Primary (Filt + Cond)","CAP","140.328","TON"
"Dust - Unpaved Road Dust","VA","51","Rockingham","165","PM2.5 Primary (Filt + Cond)","CAP","139.976","TON"
"Dust - Unpaved Road Dust","VA","51","Albemarle","003","PM2.5 Primary (Filt + Cond)","CAP","137.751","TON"
"Waste Disposal","VA","51","Pittsylvania","143","PM2.5 Primary (Filt + Cond)","CAP","137.44375","TON"
"Fuel Comb - Electric Generation - Natural Gas","VA","51","Hanover","085","PM2.5 Primary (Filt + Cond)","CAP","136.3284","TON"
"Fuel Comb - Residential - Wood","VA","51","Bedford","019","PM2.5 Primary (Filt + Cond)","CAP","133.1517646","TON"
"Fires - Prescribed Fires","VA","51","Buchanan","027","PM2.5 Primary (Filt + Cond)","CAP","133.1059","TON"
"Fuel Comb - Residential - Wood","VA","51","Spotsylvania","177","PM2.5 Primary (Filt + Cond)","CAP","132.924349","TON"
"Fires - Prescribed Fires","VA","51","Sussex","183","PM2.5 Primary (Filt + Cond)","CAP","132.85043","TON"
"Fires - Prescribed Fires","VA","51","Dickenson","051","PM2.5 Primary (Filt + Cond)","CAP","132.6894","TON"
"Fuel Comb - Electric Generation - Other","VA","51","Prince William","153","PM2.5 Primary (Filt + Cond)","CAP","132.45","TON"
"Dust - Paved Road Dust","VA","51","Rockingham","165","PM2.5 Primary (Filt + Cond)","CAP","132.293","TON"
"Waste Disposal","VA","51","Spotsylvania","177","PM2.5 Primary (Filt + Cond)","CAP","132.26949","TON"
"Agriculture - Crops & Livestock Dust","VA","51","Suffolk city","800","PM2.5 Primary (Filt + Cond)","CAP","131.768","TON"
"Fires - Prescribed Fires","VA","51","Louisa","109","PM2.5 Primary (Filt + Cond)","CAP","131.08211","TON"
"Fires - Prescribed Fires","VA","51","Campbell","031","PM2.5 Primary (Filt + Cond)","CAP","130.88989","TON"
"Dust - Construction Dust","VA","51","Fairfax","059","PM2.5 Primary (Filt + Cond)","CAP","130.82548","TON"
"Fuel Comb - Residential - Wood","VA","51","Newport News city","700","PM2.5 Primary (Filt + Cond)","CAP","130.823332","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Fairfax","059","PM2.5 Primary (Filt + Cond)","CAP","129.740734","TON"
"Fuel Comb - Residential - Wood","VA","51","Chesapeake city","550","PM2.5 Primary (Filt + Cond)","CAP","128.417102","TON"
"Fuel Comb - Residential - Wood","VA","51","Pittsylvania","143","PM2.5 Primary (Filt + Cond)","CAP","128.2018618","TON"
"Waste Disposal","VA","51","Augusta","015","PM2.5 Primary (Filt + Cond)","CAP","127.73838","TON"
"Industrial Processes - Cement Manuf","VA","51","Botetourt","023","PM2.5 Primary (Filt + Cond)","CAP","125.1755855","TON"
"Fuel Comb - Industrial Boilers, ICEs - Biomass","VA","51","Norfolk city","710","PM2.5 Primary (Filt + Cond)","CAP","123.794","TON"
"Dust - Unpaved Road Dust","VA","51","Spotsylvania","177","PM2.5 Primary (Filt + Cond)","CAP","122.315","TON"
"Fires - Prescribed Fires","VA","51","Fluvanna","065","PM2.5 Primary (Filt + Cond)","CAP","121.89223","TON"
"Dust - Unpaved Road Dust","VA","51","Loudoun","107","PM2.5 Primary (Filt + Cond)","CAP","121.66","TON"
"Dust - Unpaved Road Dust","VA","51","Washington","191","PM2.5 Primary (Filt + Cond)","CAP","121.583","TON"
"Industrial Processes - Pulp & Paper","VA","51","Hopewell city","670","PM2.5 Primary (Filt + Cond)","CAP","121.51248522","TON"
"Fuel Comb - Residential - Wood","VA","51","Stafford","179","PM2.5 Primary (Filt + Cond)","CAP","120.985965","TON"
"Dust - Unpaved Road Dust","VA","51","Hanover","085","PM2.5 Primary (Filt + Cond)","CAP","120.654","TON"
"Fuel Comb - Industrial Boilers, ICEs - Biomass","VA","51","Henrico","087","PM2.5 Primary (Filt + Cond)","CAP","119.286","TON"
"Waste Disposal","VA","51","Franklin","067","PM2.5 Primary (Filt + Cond)","CAP","119.2574","TON"
"Fires - Wildfires","VA","51","Virginia Beach city","810","PM2.5 Primary (Filt + Cond)","CAP","118.583859","TON"
"Fires - Prescribed Fires","VA","51","Essex","057","PM2.5 Primary (Filt + Cond)","CAP","117.86198","TON"
"Fuel Comb - Residential - Wood","VA","51","Washington","191","PM2.5 Primary (Filt + Cond)","CAP","117.7571442","TON"
"Fuel Comb - Residential - Wood","VA","51","Franklin","067","PM2.5 Primary (Filt + Cond)","CAP","117.5250454","TON"
"Dust - Unpaved Road Dust","VA","51","Fauquier","061","PM2.5 Primary (Filt + Cond)","CAP","115.884","TON"
"Dust - Paved Road Dust","VA","51","Richmond city","760","PM2.5 Primary (Filt + Cond)","CAP","115.523","TON"
"Fuel Comb - Residential - Wood","VA","51","Fauquier","061","PM2.5 Primary (Filt + Cond)","CAP","114.261323","TON"
"Fuel Comb - Industrial Boilers, ICEs - Biomass","VA","51","Richmond city","760","PM2.5 Primary (Filt + Cond)","CAP","113.365","TON"
"Commercial Cooking","VA","51","Virginia Beach city","810","PM2.5 Primary (Filt + Cond)","CAP","113.08102","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Rockbridge","163","PM2.5 Primary (Filt + Cond)","CAP","111.6057792","TON"
"Industrial Processes - NEC","VA","51","Botetourt","023","PM2.5 Primary (Filt + Cond)","CAP","111.158349","TON"
"Fires - Prescribed Fires","VA","51","Rockbridge","163","PM2.5 Primary (Filt + Cond)","CAP","110.08814","TON"
"Dust - Paved Road Dust","VA","51","Frederick","069","PM2.5 Primary (Filt + Cond)","CAP","110.017","TON"
"Dust - Paved Road Dust","VA","51","Bedford","019","PM2.5 Primary (Filt + Cond)","CAP","109.6","TON"
"Fuel Comb - Residential - Wood","VA","51","Campbell","031","PM2.5 Primary (Filt + Cond)","CAP","109.3622375","TON"
"Dust - Paved Road Dust","VA","51","Newport News city","700","PM2.5 Primary (Filt + Cond)","CAP","109.327","TON"
"Fuel Comb - Industrial Boilers, ICEs - Biomass","VA","51","Rockingham","165","PM2.5 Primary (Filt + Cond)","CAP","108.611","TON"
"Dust - Unpaved Road Dust","VA","51","Frederick","069","PM2.5 Primary (Filt + Cond)","CAP","108.372","TON"
"Dust - Paved Road Dust","VA","51","Pittsylvania","143","PM2.5 Primary (Filt + Cond)","CAP","108.052","TON"
"Waste Disposal","VA","51","Fauquier","061","PM2.5 Primary (Filt + Cond)","CAP","107.97174","TON"
"Fires - Prescribed Fires","VA","51","Buckingham","029","PM2.5 Primary (Filt + Cond)","CAP","106.80083","TON"
"Agriculture - Crops & Livestock Dust","VA","51","Fauquier","061","PM2.5 Primary (Filt + Cond)","CAP","106.262","TON"
"Fires - Prescribed Fires","VA","51","Mecklenburg","117","PM2.5 Primary (Filt + Cond)","CAP","106.25362","TON"
"Dust - Paved Road Dust","VA","51","Franklin","067","PM2.5 Primary (Filt + Cond)","CAP","104.857","TON"
"Commercial Cooking","VA","51","Prince William","153","PM2.5 Primary (Filt + Cond)","CAP","104.03067","TON"
"Fires - Wildfires","VA","51","Craig","045","PM2.5 Primary (Filt + Cond)","CAP","103.70291","TON"
"Dust - Unpaved Road Dust","VA","51","Campbell","031","PM2.5 Primary (Filt + Cond)","CAP","103.603","TON"
"Industrial Processes - Storage and Transfer","VA","51","Covington city","580","PM2.5 Primary (Filt + Cond)","CAP","102.6853685","TON"
"Fuel Comb - Residential - Wood","VA","51","Lynchburg city","680","PM2.5 Primary (Filt + Cond)","CAP","102.6796879","TON"
"Dust - Unpaved Road Dust","VA","51","Accomack","001","PM2.5 Primary (Filt + Cond)","CAP","102.521","TON"
"Dust - Unpaved Road Dust","VA","51","Louisa","109","PM2.5 Primary (Filt + Cond)","CAP","102.49","TON"
"Mobile - Non-Road Equipment - Diesel","VA","51","Henrico","087","PM2.5 Primary (Filt + Cond)","CAP","102.4800410345","TON"
"Dust - Unpaved Road Dust","VA","51","Henry","089","PM2.5 Primary (Filt + Cond)","CAP","101.637","TON"
"Fires - Prescribed Fires","VA","51","Scott","169","PM2.5 Primary (Filt + Cond)","CAP","100.67586","TON"
"Fuel Comb - Industrial Boilers, ICEs - Biomass","VA","51","Chesterfield","041","PM2.5 Primary (Filt + Cond)","CAP","100.191","TON"
"Waste Disposal","VA","51","Louisa","109","PM2.5 Primary (Filt + Cond)","CAP","100.11272","TON"
"Industrial Processes - Oil & Gas Production","VA","51","Buchanan","027","PM2.5 Primary (Filt + Cond)","CAP","99.911669","TON"
"Waste Disposal","VA","51","Washington","191","PM2.5 Primary (Filt + Cond)","CAP","99.31402","TON"
"Industrial Processes - Pulp & Paper","VA","51","Greensville","081","PM2.5 Primary (Filt + Cond)","CAP","99.2980202","TON"
"Fuel Comb - Industrial Boilers, ICEs - Biomass","VA","51","Greensville","081","PM2.5 Primary (Filt + Cond)","CAP","98.8759","TON"
"Dust - Paved Road Dust","VA","51","Hampton city","650","PM2.5 Primary (Filt + Cond)","CAP","98.0288","TON"
"Mobile - Non-Road Equipment - Diesel","VA","51","Prince William","153","PM2.5 Primary (Filt + Cond)","CAP","98.0065770979","TON"
"Fuel Comb - Residential - Wood","VA","51","Alexandria city","510","PM2.5 Primary (Filt + Cond)","CAP","97.950662","TON"
"Fuel Comb - Industrial Boilers, ICEs - Biomass","VA","51","Campbell","031","PM2.5 Primary (Filt + Cond)","CAP","97.832212","TON"
"Fuel Comb - Residential - Wood","VA","51","Henry","089","PM2.5 Primary (Filt + Cond)","CAP","97.7729957","TON"
"Dust - Paved Road Dust","VA","51","Isle of Wight","093","PM2.5 Primary (Filt + Cond)","CAP","96.5074","TON"
"Fires - Wildfires","VA","51","Page","139","PM2.5 Primary (Filt + Cond)","CAP","95.971106","TON"
"Fuel Comb - Residential - Wood","VA","51","Shenandoah","171","PM2.5 Primary (Filt + Cond)","CAP","95.5330762","TON"
"Fuel Comb - Industrial Boilers, ICEs - Biomass","VA","51","Hanover","085","PM2.5 Primary (Filt + Cond)","CAP","95.4375","TON"
"Fuel Comb - Residential - Wood","VA","51","Hampton city","650","PM2.5 Primary (Filt + Cond)","CAP","94.264779","TON"
"Dust - Paved Road Dust","VA","51","Norfolk city","710","PM2.5 Primary (Filt + Cond)","CAP","93.8767","TON"
"Fuel Comb - Industrial Boilers, ICEs - Biomass","VA","51","Danville city","590","PM2.5 Primary (Filt + Cond)","CAP","93.1424","TON"
"Fuel Comb - Industrial Boilers, ICEs - Biomass","VA","51","Newport News city","700","PM2.5 Primary (Filt + Cond)","CAP","91.3599","TON"
"Fuel Comb - Industrial Boilers, ICEs - Biomass","VA","51","Chesapeake city","550","PM2.5 Primary (Filt + Cond)","CAP","90.6632","TON"
"Waste Disposal","VA","51","Campbell","031","PM2.5 Primary (Filt + Cond)","CAP","90.33786","TON"
"Dust - Unpaved Road Dust","VA","51","Carroll","035","PM2.5 Primary (Filt + Cond)","CAP","90.2085","TON"
"Fuel Comb - Industrial Boilers, ICEs - Biomass","VA","51","Loudoun","107","PM2.5 Primary (Filt + Cond)","CAP","90.0896","TON"
"Fuel Comb - Industrial Boilers, ICEs - Biomass","VA","51","Hopewell city","670","PM2.5 Primary (Filt + Cond)","CAP","89.8882","TON"
"Waste Disposal","VA","51","Montgomery","121","PM2.5 Primary (Filt + Cond)","CAP","89.79943","TON"
"Dust - Unpaved Road Dust","VA","51","Culpeper","047","PM2.5 Primary (Filt + Cond)","CAP","89.3705","TON"
"Fires - Prescribed Fires","VA","51","King and Queen","097","PM2.5 Primary (Filt + Cond)","CAP","88.93182","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Augusta","015","PM2.5 Primary (Filt + Cond)","CAP","87.7234451","TON"
"Dust - Paved Road Dust","VA","51","Culpeper","047","PM2.5 Primary (Filt + Cond)","CAP","87.692","TON"
"Dust - Paved Road Dust","VA","51","Montgomery","121","PM2.5 Primary (Filt + Cond)","CAP","87.6669","TON"
"Industrial Processes - Mining","VA","51","Buchanan","027","PM2.5 Primary (Filt + Cond)","CAP","87.6492","TON"
"Fuel Comb - Electric Generation - Coal","VA","51","Chesterfield","041","PM2.5 Primary (Filt + Cond)","CAP","87.09305","TON"
"Mobile - Non-Road Equipment - Diesel","VA","51","Virginia Beach city","810","PM2.5 Primary (Filt + Cond)","CAP","87.09221464","TON"
"Dust - Unpaved Road Dust","VA","51","Shenandoah","171","PM2.5 Primary (Filt + Cond)","CAP","86.4295","TON"
"Dust - Unpaved Road Dust","VA","51","Powhatan","145","PM2.5 Primary (Filt + Cond)","CAP","86.4143","TON"
"Dust - Unpaved Road Dust","VA","51","Halifax","083","PM2.5 Primary (Filt + Cond)","CAP","86.3533","TON"
"Mobile - Non-Road Equipment - Diesel","VA","51","Arlington","013","PM2.5 Primary (Filt + Cond)","CAP","86.1847360064","TON"
"Fires - Prescribed Fires","VA","51","Frederick","069","PM2.5 Primary (Filt + Cond)","CAP","86.02738","TON"
"Fuel Comb - Residential - Wood","VA","51","Tazewell","185","PM2.5 Primary (Filt + Cond)","CAP","85.9490221","TON"
"Fires - Prescribed Fires","VA","51","Surry","181","PM2.5 Primary (Filt + Cond)","CAP","85.78499","TON"
"Fires - Wildfires","VA","51","Augusta","015","PM2.5 Primary (Filt + Cond)","CAP","85.510458","TON"
"Dust - Paved Road Dust","VA","51","Washington","191","PM2.5 Primary (Filt + Cond)","CAP","85.2487","TON"
"Agriculture - Crops & Livestock Dust","VA","51","Isle of Wight","093","PM2.5 Primary (Filt + Cond)","CAP","85.1976","TON"
"Waste Disposal","VA","51","Henry","089","PM2.5 Primary (Filt + Cond)","CAP","84.4591","TON"
"Fires - Prescribed Fires","VA","51","Bath","017","PM2.5 Primary (Filt + Cond)","CAP","83.933","TON"
"Fuel Comb - Industrial Boilers, ICEs - Biomass","VA","51","King William","101","PM2.5 Primary (Filt + Cond)","CAP","83.62275","TON"
"Fuel Comb - Industrial Boilers, ICEs - Biomass","VA","51","Virginia Beach city","810","PM2.5 Primary (Filt + Cond)","CAP","83.1233","TON"
"Dust - Paved Road Dust","VA","51","Campbell","031","PM2.5 Primary (Filt + Cond)","CAP","82.9149","TON"
"Mobile - Non-Road Equipment - Gasoline","VA","51","Loudoun","107","PM2.5 Primary (Filt + Cond)","CAP","82.33651388609","TON"
"Waste Disposal","VA","51","Culpeper","047","PM2.5 Primary (Filt + Cond)","CAP","81.918063","TON"
"Fuel Comb - Industrial Boilers, ICEs - Coal","VA","51","Hanover","085","PM2.5 Primary (Filt + Cond)","CAP","81.812","TON"
"Fires - Prescribed Fires","VA","51","Wythe","197","PM2.5 Primary (Filt + Cond)","CAP","81.4246","TON"
"Commercial Cooking","VA","51","Chesterfield","041","PM2.5 Primary (Filt + Cond)","CAP","80.80220811","TON"
"Fires - Wildfires","VA","51","Goochland","075","PM2.5 Primary (Filt + Cond)","CAP","80.437457","TON"
"Fires - Prescribed Fires","VA","51","Northumberland","133","PM2.5 Primary (Filt + Cond)","CAP","80.35769","TON"
"Commercial Cooking","VA","51","Henrico","087","PM2.5 Primary (Filt + Cond)","CAP","79.63598","TON"
"Mobile - Non-Road Equipment - Diesel","VA","51","Norfolk city","710","PM2.5 Primary (Filt + Cond)","CAP","79.309964274","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Prince William","153","PM2.5 Primary (Filt + Cond)","CAP","79.166328","TON"
"Fires - Wildfires","VA","51","Bedford","019","PM2.5 Primary (Filt + Cond)","CAP","78.995828","TON"
"Fires - Prescribed Fires","VA","51","Greensville","081","PM2.5 Primary (Filt + Cond)","CAP","78.89729","TON"
"Mobile - Commercial Marine Vessels","VA","51","Accomack","001","PM2.5 Primary (Filt + Cond)","CAP","78.819759905005","TON"
"Industrial Processes - NEC","VA","51","Chesterfield","041","PM2.5 Primary (Filt + Cond)","CAP","78.80342425","TON"
"Dust - Unpaved Road Dust","VA","51","Russell","167","PM2.5 Primary (Filt + Cond)","CAP","78.7801","TON"
"Dust - Unpaved Road Dust","VA","51","Lee","105","PM2.5 Primary (Filt + Cond)","CAP","78.7496","TON"
"Dust - Unpaved Road Dust","VA","51","Stafford","179","PM2.5 Primary (Filt + Cond)","CAP","78.7496","TON"
"Dust - Unpaved Road Dust","VA","51","Mecklenburg","117","PM2.5 Primary (Filt + Cond)","CAP","78.7191","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Frederick","069","PM2.5 Primary (Filt + Cond)","CAP","78.708963","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Montgomery","121","PM2.5 Primary (Filt + Cond)","CAP","78.6898906","TON"
"Dust - Paved Road Dust","VA","51","Louisa","109","PM2.5 Primary (Filt + Cond)","CAP","78.3788","TON"
"Waste Disposal","VA","51","Suffolk city","800","PM2.5 Primary (Filt + Cond)","CAP","78.058655","TON"
"Dust - Paved Road Dust","VA","51","Suffolk city","800","PM2.5 Primary (Filt + Cond)","CAP","76.9865","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Wythe","197","PM2.5 Primary (Filt + Cond)","CAP","76.7868112","TON"
"Fires - Prescribed Fires","VA","51","Patrick","141","PM2.5 Primary (Filt + Cond)","CAP","76.73948","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Stafford","179","PM2.5 Primary (Filt + Cond)","CAP","76.5845257","TON"
"Waste Disposal","VA","51","Carroll","035","PM2.5 Primary (Filt + Cond)","CAP","76.41715","TON"
"Fuel Comb - Residential - Wood","VA","51","Culpeper","047","PM2.5 Primary (Filt + Cond)","CAP","76.2488009","TON"
